City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.34,64,42,6.69,light rain
322,Dunedin,NZ,-45.8742,170.5036,63.19,86,100,6.46,light rain
323,Zhanakorgan,KZ,43.9098,67.2495,44.82,48,99,12.26,overcast clouds
324,Tabou,CI,4.423,-7.3528,78.35,86,97,6.55,light rain
325,Northam,GB,51.0333,-4.2167,48.42,88,100,32.19,overcast clouds
326,Verkhnevilyuysk,RU,63.4453,120.3167,0.23,96,100,9.31,light snow
327,Lompoc,US,34.6391,-120.4579,56.57,85,90,4.61,overcast clouds
328,San Isidro,PE,-12.1167,-77.05,69.01,81,0,1.99,clear sky
329,Lata,PT,40.1629,-8.3327,51.82,89,100,2.75,overcast clouds
330,Livramento,BR,-3.0254,-60.1803,77.67,100,40,1.14,moderate rain
331,Vieques,PR,18.425,-65.8329,80.62,78,75,4.61,broken clouds
332,Atar,MR,20.5169,-13.0499,67.01,27,100,7.38,overcast clouds
333,Naze,JP,28.3667,129.4833,61.72,57,24,20.0,few clouds
334,Aklavik,CA,68.2191,-135.0107,-21.17,85,1,9.08,clear sky
335,Saint George,US,37.1041,-113.5841,58.53,34,1,1.99,clear sky
336,Kiruna,SE,67.8557,20.2251,4.12,92,90,0.0,light snow
337,Leningradskiy,RU,69.3833,178.4167,2.7,90,100,17.02,overcast clouds
338,Te Anau,NZ,-45.4167,167.7167,59.9,97,100,3.2,overcast clouds
339,Liverpool,GB,53.4106,-2.9779,45.68,89,75,1.01,broken clouds
340,Catamarca,AR,-28.4696,-65.7852,77.05,83,59,8.01,broken clouds
341,Pangnirtung,CA,66.1451,-65.7125,12.34,74,100,8.46,overcast clouds
342,Lasa,IT,46.6166,10.7002,30.94,66,100,3.22,overcast clouds
343,Alofi,NU,-19.0595,-169.9187,82.29,78,98,16.11,overcast clouds
344,Zaraza,VE,9.3503,-65.3245,73.58,89,66,5.28,broken clouds
345,Trat,TH,12.5,102.5,76.91,62,99,10.51,overcast clouds
