City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Batemans Bay,AU,76.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
255,Wanning,CN,69.71,scattered clouds,18.8003,110.3967,Paradise Hotel
256,Chancay,PE,69.31,overcast clouds,-11.5714,-77.2672,Hotel Madre Perla
260,Esperance,AU,73.24,clear sky,-33.8667,121.9,Hospitality Esperance
263,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
266,San Patricio,US,73.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
267,Luganville,VU,84.65,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
268,Monrovia,LR,78.75,light rain,6.3005,-10.7969,Sunset Inn
270,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
273,Inhambane,MZ,75.34,broken clouds,-23.865,35.3833,Oceano
274,San-Pedro,CI,78.55,overcast clouds,4.7485,-6.6363,Hotel Maria
275,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
280,Victoria,HK,68.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
283,Dingle,PH,80.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Cockburn Town,TC,79.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
287,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
291,Rafaela,AR,74.98,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
294,Fare,PF,81.37,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
299,Ondjiva,AO,72.27,overcast clouds,-17.0667,15.7333,COMBUESA
300,Aden,YE,78.73,clear sky,12.7794,45.0367,Sama Emirate Hotel
301,Caravelas,BR,72.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
302,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
304,Mangrol,IN,69.75,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
305,Sao Borja,BR,71.94,broken clouds,-28.6606,-56.0044,Hotel Executivo
313,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
317,Makakilo City,US,73.29,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
318,Bafoulabe,ML,81.5,broken clouds,13.8065,-10.8321,
321,Presidencia Roque Saenz Pena,AR,70.34,light rain,-26.7852,-60.4388,Hotel Aconcagua
324,Tabou,CI,78.35,light rain,4.423,-7.3528,hotêl doufoulougou
328,San Isidro,PE,69.01,clear sky,-12.1167,-77.05,Soul Mate-Inn
330,Livramento,BR,77.67,moderate rain,-3.0254,-60.1803,Refúgio Samauma
331,Vieques,PR,80.62,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
332,Atar,MR,67.01,overcast clouds,20.5169,-13.0499,Oumou Elghoura
340,Catamarca,AR,77.05,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
343,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
344,Zaraza,VE,73.58,broken clouds,9.3503,-65.3245,Hotel Zaraza
345,Trat,TH,76.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
346,Dicabisagan,PH,71.89,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
349,Savannakhet,LA,69.82,few clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
350,Muisne,EC,75.27,overcast clouds,0.6,-80.0333,Quinta Samay
353,Rio Grande,BR,65.44,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
358,La Romana,DO,78.53,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
359,Veraval,IN,72.45,scattered clouds,20.9,70.3667,Lords Inn Somnath
360,Kavieng,PG,84.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
361,Manzanillo,CU,72.68,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
362,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
363,Inirida,CO,73.35,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
366,Sekoma,BW,69.89,broken clouds,-24.4,23.8833,
369,San Lazaro,BZ,70.65,few clouds,18.0387,-88.6622,
370,Valdez,EC,76.12,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
372,Xai-Xai,MZ,73.4,scattered clouds,-25.0519,33.6442,Complexo da Familia
373,Lahat,ID,80.02,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
374,Guane,CU,67.1,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
376,Bukama,CD,67.55,scattered clouds,-9.2,25.85,
377,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
379,Ciudad Bolivar,VE,77.99,broken clouds,8.1222,-63.5497,Hotel Edi
381,Namibe,AO,70.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
388,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,Derogongan Residence
390,Kuntaur,GM,76.82,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
391,Kangaba,ML,72.86,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
393,Gboko,NG,74.35,few clouds,7.3179,8.9951,Mavillah Apartment and Suites
396,Benemerito De Las Americas,MX,69.62,broken clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
398,Balabac,PH,82.06,light rain,7.9868,117.0645,Sing and Swing Lodge
399,Itaberai,BR,69.64,overcast clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
400,Vallenar,CL,68.05,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
401,Lashio,MM,67.17,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
403,Itaituba,BR,72.84,overcast clouds,-4.2761,-55.9836,Hotel Campos
405,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
406,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
407,Chimoio,MZ,67.05,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
410,Grand-Santi,GF,71.74,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
414,Sabang,ID,80.62,overcast clouds,5.8933,95.3214,Hotel Citra
